Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR4056626,2016-10-06 16:17:16,2016-08-24 18:26:15,446188,20524648,0,46,21,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/003961/SRR4056626,SRX2045993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067844,PRJNA307121,2,307121,SRS1638492,SAMN05561845,simple,9606,Homo sapiens,GSM2269759,,,,,,,no,,,,,GEO,SRA323017,,public,355D0426B570552CAEBEF784840B1162,DE4D23F2D289D5CBF43F6D6415051FF0
SRR1555217,2015-07-22 17:06:42,2015-12-16 22:58:25,18499143,3736826886,18499143,202,2572,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/001518/SRR1555217,SRX684361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045666,PRJNA258599,2,258599,SRS687487,SAMN03000656,simple,9606,Homo sapiens,GSM1482963,,,,,,,no,,,,,GEO,SRA179948,,public,2E12F9C1712B917E4D12851051F1A58D,E4885835B4C767623D6848883D51E864
SRR4249264,2016-09-30 15:56:21,2016-09-15 19:33:32,4366615,314396280,4366615,72,187,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004149/SRR4249264,SRX2169310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090072,PRJNA343284,,343284,SRS1697206,SAMN05778071,simple,9606,Homo sapiens,GSM2314110,,,,,,,no,,,,,GEO,SRA472324,,public,A526D5196573AFE5EDA271B19F21F4D8,48B55CB785AB3F09D45523CD2FBD206E
SRR2049327,2016-02-03 15:52:55,2015-06-03 18:56:26,49826887,2491344350,0,50,1738,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/002001/SRR2049327,SRX1047408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059033,PRJNA285790,2,285790,SRS951792,SAMN03759633,simple,9606,Homo sapiens,GSM1701811,,,,,,,no,,,,,GEO,SRA271222,,public,76FCDAF27F136DF05B81405761A0F591,6F728C7A6EDB3EBE20CA2653A1EDBEB6
SRR4422151,2016-11-14 11:27:34,2016-10-13 18:03:54,41076574,8215314800,41076574,200,4468,,https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/004318/SRR4422151,SRX2244439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP013565,PRJNA30709,,30709,SRS1745155,SAMN05897625,simple,9606,Homo sapiens,ENCODE biosample ENCBS849PSG,,,,,male,,no,,,,,GEO,SRA484822,,public,4DE4762367B912D81DCAF7A9F96FDE62,00935011EB253922D6B513D9A878AD27
ERR553465,2015-03-18 05:32:29,2015-09-14 08:36:26,35998633,7199726600,35998633,200,4362,,https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR553/ERR553465,ERX512523,PolyA Selected U2AF1 ab siRNA Depletion Replicate 1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,250,278,ILLUMINA,Illumina HiSeq 2500,ERP006200,PRJEB6651,,278611,ERS494760,SAMEA2624016,simple,9606,Homo sapiens,E-MTAB-2682:PolyA Selected U2AF1 ab siRNA Depletion Replicate 1,,,,,female,,no,,,,,Wellcome Trust Centre for Human Genetics,ERA323384,,public,5A1E9D7F4C0F386CCDACE52C0908346F,C34946AC52D3FC705E6E84D40D0130FC
SRR2964139,2017-01-19 16:24:32,2015-11-30 13:01:31,293,58600,293,200,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002894/SRR2964139,SRX1454384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1182186,SAMN04300964,simple,9606,Homo sapiens,GSM1956176,,,,,,,no,,,,,GEO,SRA314130,,public,19D81548AC4B50E3C1318C4A9F0AB9E6,63B97E0ABE7866EFAD9F949CF639F862
SRR1777085,2016-03-01 17:46:09,2015-01-28 08:43:59,4755024,960514848,4755024,202,605,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/001735/SRR1777085,SRX856830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP052901,PRJNA273802,2,273802,SRS828906,SAMN03298524,simple,9606,Homo sapiens,GSM1593766,,,,,,,no,,,,,GEO,SRA235424,,public,A6350E1F2B3D31DA1B51682253C12E4D,8902FE46E722D2785F712304148CC5E5
SRR1636809,2017-02-09 16:43:42,2014-10-31 17:34:19,32720631,4973535912,32720631,152,2787,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/001598/SRR1636809,SRX749081,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP049443,PRJNA266017,2,266017,SRS735062,SAMN03154572,simple,9606,Homo sapiens,GSM1536023,,,,,,,no,,,,,GEO,SRA197270,,public,6C2596E222728D793B92C25C1F8043B2,48078304197B7B2B8C8845185200D445
SRR3617970,2016-11-14 13:22:38,2016-06-13 15:11:32,2662349,200742900,0,75,94,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/003533/SRR3617970,SRX1814389,6th-C41_S74,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075970,PRJNA323853,,323853,SRS1477347,SAMN05191373,simple,9606,Homo sapiens,6th-C41_S74,,,,,male,,no,,,,,,SRA430378,,public,50D2586200160581A8E4135DCA9DB946,710DC45663454FEE17386FA94CFC73ED
SRR5191848,2017-01-24 00:00:00,2017-01-20 01:23:06,1378200,137820000,0,100,25,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/005070/SRR5191848,SRX2507562,RHB571_d3.RNA-seq.single.HiSeq2000,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP097299,PRJNA360884,,360884,SRS1931815,SAMN06245593,simple,9606,Homo sapiens,RHB571_d3,,,,,Not applicable,,no,,,,,,SRA529117,,public,CAF19142887CF2E91EC2FF7FDE1D4A54,A44FDFE25E86CDB94C0B7DF93879F1C9
