Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR015374,2015-03-11 16:38:14,2015-03-11 18:32:18,9871498,1915070612,9871498,194,1157,,https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000015/DRR015374,DRX013841,PC9_043,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,DRP001358,PRJDB2345,,278130,DRS013587,SAMD00010334,simple,9606,Homo sapiens,DRS013587,,,,,,,no,,,,,UT-MGS,DRA001287,,public,F4A255605C27761D0E8C599FAEC1AE56,871CE9F0DD0ED51974AA68E195FA48E6
SRR4249384,2016-09-30 15:56:21,2016-09-15 19:36:09,6499820,467987040,6499820,72,291,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004149/SRR4249384,SRX2169430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090072,PRJNA343284,,343284,SRS1697326,SAMN05778776,simple,9606,Homo sapiens,GSM2314230,,,,,,,no,,,,,GEO,SRA472324,,public,D8B1B3821CE9E27770BED20CD9983AC6,A55A9D4EAC030F6394AAF0905DEDDDD0
SRR3555595,2017-02-09 16:42:31,2016-05-20 14:27:23,2040297,408059400,2040297,200,324,,https://sra-download.ncbi.nlm.nih.gov/traces/sra40/SRR/003472/SRR3555595,SRX1782389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075475,PRJNA322308,2,322308,SRS1453366,SAMN05151453,simple,9606,Homo sapiens,GSM2170787,,,,,,,no,,,,,GEO,SRA427378,,public,1E0D23127A88E76F90802E6D460329DD,49834B88A0BC231C228A232D2282FD3F
SRR4247643,2016-09-30 15:56:21,2016-09-15 18:59:39,1490992,107351424,1490992,72,68,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004148/SRR4247643,SRX2167689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090072,PRJNA343284,,343284,SRS1695587,SAMN05777101,simple,9606,Homo sapiens,GSM2312480,,,,,,,no,,,,,GEO,SRA472324,,public,3BD82841F2AA6AA18FC1F68B8277DAE7,011C7EC73D77171F65E4EB94A7FD6DE9
SRR4300096,2017-01-03 09:58:14,2016-09-28 11:08:20,34632623,6926524600,34632623,200,4584,,https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/004199/SRR4300096,SRX2194641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090552,PRJNA344735,2,344735,SRS1716820,SAMN05832506,simple,9606,Homo sapiens,GSM2331195,,,,,,,no,,,,,GEO,SRA480728,,public,1A3523295C8E4FE141AC0764A8B32BA4,129E8823627E1C0D6610E5108D20E94E
SRR944306,2015-07-22 17:05:31,2015-10-08 22:51:12,34679384,1491213512,0,43,1123,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/000922/SRR944306,SRX328725,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028301,PRJNA213629,2,213629,SRS464865,SAMN02296848,simple,9606,Homo sapiens,GSM1197348,,,,,,,no,,,,,GEO,SRA096187,,public,C2907929B840298795B1CDD1596F98C7,225450C696E35921042E5C48433CC287
SRR4056029,2016-10-06 16:17:16,2016-08-24 18:22:46,1216136,62022936,0,51,61,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/003960/SRR4056029,SRX2045397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067844,PRJNA307121,2,307121,SRS1637897,SAMN05561735,simple,9606,Homo sapiens,GSM2269163,,,,,,,no,,,,,GEO,SRA323017,,public,442CA36EADAEAF6D47AE1C870C5346FE,A324D5086B04EF904947C9AEF2D17AA2
SRR5122865,2017-06-13 16:34:09,2016-12-20 19:36:39,48442572,12110643000,48442572,250,4938,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/005002/SRR5122865,SRX2437961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095434,PRJNA358257,2,358257,SRS1872549,SAMN06169649,simple,9606,Homo sapiens,GSM2434153,,,,,,,no,,,,,GEO,SRA506035,,public,FA9367760B97434E19733706BB946163,B17EBA9DB80EC802069DDAF772BF83F0
SRR3129850,2016-05-03 16:03:10,2016-02-01 15:35:24,34060434,6812086800,34060434,200,4589,,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/003056/SRR3129850,SRX1549997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer,SRP068976,PRJNA310012,2,310012,SRS1266849,SAMN04445031,simple,9606,Homo sapiens,GSM2049071,,,,,,,no,,,,,GEO,SRA342119,,public,A92B55236C7FA290C0314F38BFB3132C,7D1818B154BCF9957F6D4330D754C725
SRR4027532,2016-08-17 19:53:51,2016-08-12 19:51:08,17599403,879970150,0,50,575,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003933/SRR4027532,SRX2019466,SC12-022DE.182.3.16,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP081654,PRJNA338817,2,338817,SRS1615119,SAMN05559277,simple,9606,Homo sapiens,SC12-022DER,,,,,male,,no,,,,,,SRA452098,,public,2CDDDF341F8249C52B0E13981F572F58,FD4AF527F3FAB2E0091D315FA7037A40
